node1,node2
149,11929
149,6895
150,1579
150,9090
150,3844
150,5012
150,8344
150,12828
150,14358
150,12086
150,1902
152,10462
152,10172
152,5902
152,8723
152,14957
152,11897
152,2105
152,2714
152,6157
152,2045
154,11619
155,2377
155,6685
155,13318
156,9938
156,14244
156,6050
156,5491
156,9938
156,5491
157,10462
157,8786
157,8786
157,10265
159,3869
159,5485
161,4167
161,11031
161,14734
161,8360
161,4388
161,11490
161,7909
161,14346
161,8360
161,12406
161,4802
161,12015
161,7340
161,903
161,11031
161,3417
161,7134
161,3511
161,14734
161,14029
161,722
161,3875
161,8360
161,10783
161,16069
161,7810
161,14029
161,13994
161,11619
161,6417
161,13362
161,14734
161,7981
162,14506
162,10500
162,15613
163,7916
165,1528
165,3409
165,6106
165,531
168,10462
169,12626
169,7518
169,3335
169,13055
169,2060
169,8043
169,4575
169,5200
169,15521
169,3237
169,274
169,7974
170,6408
170,2678
170,10462
172,3222
172,8081
172,2680
172,8696
172,1299
172,3374
172,2007
172,24
172,3435
172,13005
172,5561
173,10462
173,10462
174,14058
174,7983
174,13678
174,13320
175,7007
175,14782
175,7007
175,14427
175,5417
175,199
175,1452
175,14616
176,5424
176,11478
177,509
177,7243
178,9179
178,2647
178,15340
180,5012
180,11529
180,11227
181,13667
181,15150
182,2028
182,7111
182,15034
182,11502
182,15693
182,4778
182,14363
182,7793
182,15156
182,3402
182,5678
182,10284
182,11876
182,1879
182,10462
183,7827
183,5012
183,10172
183,7329
185,9819
185,11348
185,15150
185,5183
185,14178
185,6933
185,14274
185,15241
185,11252
185,10675
185,8444
185,10667
185,14869
185,13632
185,3376
185,13130
185,4113
185,14439
185,8804
185,11742
185,14869
185,10859
185,7132
185,16107
185,357
187,2608
188,8627
188,14182
188,4774
188,8554
188,10166
188,15554
188,13320
188,13320
188,2007
188,3511
188,8977
188,16029
188,9893
188,1838
188,13857
192,4894
192,3844
193,4880
193,11823
193,9881
193,4880
194,6408
196,2507
196,10749
196,14892
197,6659
198,15620
198,2664
199,4266
199,13818
199,2763
199,5307
201,10462
201,8719
204,161
204,8647
204,6830
204,9245
204,12441
204,5706
204,8647
204,6830
204,371
205,10462
206,7280
206,7280
207,13320
207,3011
207,15889
207,7922
207,12388
207,11046
207,11619
207,15326
207,10653
207,14207
207,2524
207,13155
207,12938
207,13170
207,15170
207,9791
207,7992
207,14285
208,10462
208,557
208,9812
208,9433
208,2506
208,13657
209,11447
210,9090
210,13393
210,1168
210,10362
210,14088
210,15561
210,7235
210,15561
210,7880
211,32
211,32
211,32
211,10462
212,6580
212,16002
214,13706
214,5924
214,16173
214,7122
214,10801
214,11997
214,9281
214,11997
214,11963
215,24
216,339
217,10337
217,10702
218,2572
218,1391
218,1391
218,1125
218,1328
220,11955
220,13912
221,9893
221,14622
221,10125
221,11293
221,14154
221,2309
221,11112
221,15872
221,9431
221,3702
222,12406
222,14957
222,3107
223,7820
223,2618
223,2060
223,10155
223,13996
226,3119
226,11015
227,10462
227,10177
227,8427
227,9308
227,5075
227,14218
227,10177
228,10462
228,15932
228,13242
228,4396
228,8928
228,10462
229,9796
229,13545
229,14616
229,9570
229,16011
229,3422
229,6255
229,16168
229,4131
229,2596
229,7814
230,12857
230,12561
230,8953
230,9269
230,12857
230,12561
230,4521
230,12553
230,9762
230,15981
230,12123
230,5536
230,9647
230,7827
230,9325
230,15293
231,4164
231,16011
231,11134
231,2197
231,15285
231,11015
231,9756
231,7441
231,16216
231,11502
231,7348
231,8312
231,9396
231,12695
231,2273
231,10222
231,1961
231,3109
231,5482
231,5988
231,7111
231,1618
231,5134
231,7218
231,11656
231,11150
231,9687
231,10913
231,1195
231,13395
231,2273
231,4116
231,9396
231,12597
231,9417
231,4434
231,5613
231,12750
231,2439
231,2306
231,3393
231,4554
231,10459
231,2703
231,15254
231,16157
231,13428
231,211
231,9518
231,11040
231,4154
231,13351
231,12757
231,11221
231,7583
231,1327
231,11424
231,13424
231,15285
231,8937
231,11483
231,3919
231,14353
231,2094
231,16040
231,15427
231,6454
231,4332
231,14629
231,6840
231,15611
231,11544
231,375
231,6740
231,4308
231,12591
231,16011
231,14263
231,11134
231,10773
231,10058
231,5280
231,9810
231,2602
231,5070
231,15285
231,10769
231,4463
231,14353
231,9396
231,6255
231,10058
231,4024
232,417
232,4512
233,9821
234,10952
234,9122
234,976
234,5862
234,440
234,14591
234,7805
234,4295
234,4221
234,12934
234,1296
234,9608
234,10767
234,3878
234,12831
234,4158
234,15034
234,7111
234,3166
234,1547
234,5001
234,10721
234,13645
234,7793
234,12042
234,11502
234,9148
234,4058
235,593
235,14677
235,12386
235,5837
235,3855
235,10767
235,1547
235,14626
235,3855
235,2664
235,944
235,3175
235,5012
235,13214
235,14176
235,9090
235,8387
235,7714
235,12118
235,593
235,14677
235,13573
235,4390
235,7387
235,14677
235,9362
235,13275
235,2602
235,10801
236,5173
236,2618
237,13274
237,11142
237,13274
237,1770
237,13188
237,11788
238,242
238,15831
239,7558
241,3750
241,327
241,14169
241,4058
242,238
242,2385
242,2377
242,1301
242,5139
242,2427
242,5708
242,14203
242,3881
242,10145
242,12809
242,13657
242,6773
242,1679
242,12396
244,2608
244,8134
244,8410
245,12350
245,9864
245,9268
245,10749
245,9133
245,13394
245,15342
245,3154
246,59
247,6207
247,12525
248,15490
248,15780
248,7701
248,1153
248,5704
248,6157
248,15386
248,5317
248,1201
248,8066
248,14220
248,8271
248,15490
248,13362
248,5340
248,13362
248,15780
248,7701
248,10945
248,339
248,5704
248,14207
248,3928
248,15688
248,7340
248,3416
248,11619
248,10951
248,5339
248,7139
248,13680
248,11955
248,6523
248,4565
248,15490
248,14080
248,1097
248,5704
248,15490
248,9570
248,14752
248,7340
248,10531
248,1490
248,3930
248,6157
248,5220
248,4891
248,5317
248,15386
248,6513
248,1097
248,5704
248,5704
248,1097
248,11955
248,15406
248,7767
248,6830
248,3322
248,12396
248,14207
248,15406
248,7767
248,6830
248,13479
248,1679
248,11355
248,15719
248,2007
248,9856
248,12274
248,8882
248,11619
248,6692
248,14479
248,14846
248,1409
248,7139
249,7909
249,11870
249,2098
251,2063
251,2063
251,5924
251,786
251,13302
251,15023
251,12021
251,627
251,7654
251,8542
251,245
251,2094
251,9088
252,3159
253,3167
253,5060
253,13126
253,6635
253,657
253,9672
253,1362
253,15826
253,12508
253,5513
253,14849
253,7500
254,15340
255,3869
256,12265
257,9871
257,12571
257,8813
258,16153
258,9782
258,1579
258,9223
258,12404
258,11260
258,16099
258,74
258,11510
258,2925
258,9223
258,12404
258,7701
258,2377
258,13319
258,15094
258,16168
258,4388
258,12626
258,11121
258,134
259,15690
259,1797
259,13268
259,2756
259,13344
259,5678
259,11850
259,6619
259,11498
259,5097
259,9408
259,1499
259,6604
261,4799
261,4799
261,11383
261,11383
261,13665
261,4799
262,5794
262,704
262,12431
262,12768
262,5633
262,787
262,4002
262,1985
262,11989
262,15719
262,4213
262,5794
262,11242
262,11989
262,13231
262,5794
263,2377
263,14757
263,5015
263,8430
263,9799
263,11619
263,15533
263,14464
263,5422
263,5885
264,12638
264,10341
264,7866
264,13677
264,10760
265,10425
265,10425
266,11264
266,5183
267,11852
267,6435
268,3977
268,2421
268,6835
268,13809
268,368
268,3896
268,3111
269,2445
269,2445
269,7257
269,13067
269,182
269,13254
269,13043
269,10726
269,6781
269,3869
269,10726
270,13938
270,13938
270,13938
270,5390
270,8485
270,311
270,15156
270,15611
270,6580
270,15156
270,15611
270,13938
271,12118
272,2682
272,15711
272,14364
274,4058
274,4058
274,14138
274,10462
275,11863
275,7233
275,11648
276,14449
276,8950
276,2151
276,2700
276,2427
276,10706
276,3512
276,14195
276,975
276,15764
276,13393
276,10341
276,13242
276,10362
276,3807
276,5632
276,837
277,14633
278,10014
279,12005
279,14967
279,15927
279,8380
279,14892
279,10990
279,5642
279,12063
280,3922
280,8579
280,8627
280,14981
280,15247
281,5676
281,10867
281,3340
281,12064
281,13563
281,6938
282,2926
282,2730
282,11307
284,6835
284,3902
284,8974
284,5085
284,6938
284,10058
284,8553
284,9016
284,290
284,15913
284,6222
284,6024
284,12386
284,10864
284,14579
285,13545
285,6545
285,12543
285,6669
285,3402
285,11533
285,7793
285,11340
285,13275
285,13275
286,9311
286,10462
287,4070
287,11533
287,13275
287,16011
287,11529
287,16011
287,9290
287,6938
287,13469
287,7714
287,7550
287,3758
287,16011
287,3896
287,9885
287,12517
287,3922
287,1782
287,11533
288,11251
288,10431
288,14246
288,14246
288,15329
288,11469
288,12439
288,12043
288,14246
289,15749
289,5805
290,2127
290,1961
290,9016
290,284
290,5117
290,14088
290,928
290,6031
290,1395
290,11858
290,8826
290,11808
290,2965
290,5012
291,8844
291,8600
291,13318
291,15760
291,13577
291,5689
291,4814
291,3175
291,15326
291,4539
291,627
291,11121
291,11529
291,14669
291,7358
291,4865
291,15326
293,14148
293,6963
293,12021
294,11823
294,11692
295,295
295,14828
295,4058
295,5967
295,15268
295,14311
295,7440
295,947
295,182
295,14363
295,7701
295,3966
295,1007
295,8453
295,10822
295,9209
295,14293
295,11483
295,14686
295,13491
295,9308
295,12295
295,6230
295,8542
296,15620
296,4339
296,5424
296,15614
296,14126
296,14607
296,13421
297,15613
298,11243
298,12711
300,5527
300,10665
301,6031
301,16217
301,10653
301,7855
301,13320
301,4480
301,10653
301,16217
301,15132
301,10630
301,480
301,11892
301,10462
303,14472
303,4058
303,13006
303,13453
303,15798
303,9881
303,13678
306,14613
306,15666
306,963
306,14613
306,13162
307,4442
307,8493
307,8227
307,8974
307,12386
307,8690
307,8485
307,14857
307,15052
307,14784
307,13706
307,11379
307,14857
307,15649
307,3119
307,2671
307,4388
307,12140
307,15326
307,16153
307,13275
307,7644
307,8189
307,12140
307,15326
307,4388
307,16153
307,14857
307,15649
307,1938
307,2831
307,7025
308,6104
308,11169
308,13369
308,14339
308,4313
308,16054
309,6635
310,1048
310,7698
310,7701
311,2504
312,3279
312,14328
312,14195
313,14592
313,11539
313,2732
313,5690
314,11056
314,14669
314,9133
314,1297
314,6296
314,14622
314,10187
314,8430
314,12331
314,2048
314,3376
314,9645
314,8703
314,13678
314,8125
314,2524
314,9893
314,11056
314,1980
314,14999
314,12823
314,4897
314,10317
314,3639
314,8973
314,14669
314,14622
314,2048
315,15979
315,12042
316,14980
316,5569
316,6934
317,10462
318,12118
318,3487
318,8974
318,13159
319,10125
319,7063
319,6627
319,2320
319,708
319,4113
321,9124
322,14178
322,5880
322,13309
324,10095
324,14330
324,15163
324,14662
324,8769
324,12183
325,15677
325,15509
325,8086
325,15677
327,10462
327,6124
327,12655
327,3750
327,241
327,12655
327,6124
327,4167
327,4131
327,2687
327,13384
327,10462
328,15178
328,5548
328,5548
330,9538
330,10353
330,11286
330,11533
331,14427
332,14785
334,10885
335,1253
335,6738
335,2852
335,14537
336,10462
336,4246
338,1874
338,3934
338,7714
338,1874
339,8813
339,6049
339,2852
339,15533
339,10919
339,15688
339,4131
339,15575
339,13214
339,4131
339,1929
339,2852
339,3903
339,8723
339,1071
339,11190
339,8813
339,2007
339,7016
339,10827
339,2305
339,8813
339,2506
339,10832
339,4494
339,3869
339,8060
339,3869
339,1980
340,14421
340,2385
340,14060
340,992
340,2831
340,2965
340,14908
340,5488
340,14421
341,10423
341,3337
341,7868
341,10187
341,8969
342,5264
342,3799
342,3545
344,787
344,15763
344,10783
344,2004
345,3771
345,583
345,13184
345,2028
345,15987
345,415
345,3771
345,11681
345,583
345,9704
345,583
345,1547
346,7079
346,8055
346,13034
346,8010
346,14330
346,11242
346,10425
346,8452
346,8452
346,9821
347,5818
347,3758
347,10462
350,7827
350,15182
350,7827
350,7714
352,9881
352,1097
353,8099
353,8099
354,11061
354,11338
354,3175
354,3869
354,4458
354,11338
354,1848
354,5414
354,12939
354,6108
354,11232
354,11947
354,6108
354,15740
354,3112
354,4458
354,9805
354,11338
354,6108
355,493
355,15972
356,12388
356,2309
357,2852
357,13320
357,14592
357,10032
357,6737
357,5598
357,6131
357,8295
357,9128
357,12817
357,2055
357,11504
357,10531
357,3416
357,14756
357,9237
357,6830
357,4749
357,6419
357,6255
357,7009
357,14207
357,7340
357,2714
357,12816
357,6419
357,6154
357,11955
357,185
357,1829
357,1157
358,2439
358,9914
358,3117
358,6179
358,14444
358,15649
358,4817
358,2643
358,12801
358,6963
359,6594
359,11365
359,6006
359,9813
362,13393
362,5002
362,13393
362,13393
362,14882
364,2427
364,242
364,2628
364,8242
364,24
364,2363
364,12359
365,14621
365,5988
365,12299
365,5880
365,12695
365,8937
365,10127
365,13395
365,2439
365,11544
365,11316
365,4949
365,15016
365,6073
365,11529
365,6338
365,16011
365,5642
365,7583
365,12626
365,5342
365,4949
365,6027
365,11113
365,3932
365,8181
365,5342
365,920
365,6027
365,5892
367,3869
367,8647
367,14207
367,5627
367,9248
367,13170
368,6448
368,3875
368,15326
368,9871
368,6081
368,12927
368,11874
368,14421
368,547
368,3260
368,14923
368,14340
368,14421
368,14340
368,11874
368,10004
368,563
368,3495
368,9843
368,15326
368,15326
369,555
369,11000
370,370
370,14263
370,7070
370,15034
370,13120
370,7070
370,4058
370,1182
370,7714
370,15831
370,15760
370,4781
370,7805
371,11955
371,15326
371,10981
371,13670
371,11478
371,14174
371,3375
371,617
371,2702
371,14203
371,7025
371,1008
371,5360
371,2305
371,14358
371,1270
371,1229
371,204
373,12510
373,14917
373,9124
373,9124
374,1513
374,11435
375,375
375,10760
375,14132
375,12635
375,15472
375,4388
375,8553
376,5924
377,9538
377,11316
378,10462
380,6738
381,1028
381,12201
381,15880
381,3422
381,354
381,469
381,15682
381,2748
381,15334
381,1028
381,9797
381,1028
381,1028
381,2452
381,11830
381,1028
381,14539
381,4894
381,6187
381,1028
381,2367
381,1449
381,16173
381,4527
381,354
381,8538
381,4290
381,10859
381,10403
381,3856
381,10859
381,4762
381,14739
381,4214
382,11065
382,12409
382,10653
382,13320
382,7527
382,975
382,1025
382,10187
382,31
383,7238
383,7029
383,6205
383,6851
383,13364
383,5422
383,4978
383,10770
383,2110
383,11678
383,11034
383,7029
383,7238
384,11490
384,1039
384,14176
384,1249
386,4578
386,8010
386,8010
386,15515
386,10251
386,10815
386,14981
386,2264
386,5195
386,4724
386,5383
386,14917
386,10482
386,16029
387,1169
388,7701
388,1021
388,7701
388,7701
388,7347
388,7701
388,1811
389,14664
391,2486
391,7014
391,15348
391,9193
391,9031
393,14659
393,14284
393,14659
393,2199
394,10462
395,8376
395,8376
395,4270
395,2506
395,4270
396,15843
396,4894
397,3211
397,3211
397,13520
398,15007
398,10462
399,10462
400,11488
400,11488
400,8211
400,12819
401,8360
401,13378
401,3407
401,2377
401,11478
401,4894
401,3163
401,6928
401,5885
401,8360
401,11999
401,71
401,6331
401,10739
401,5115
401,4632
401,15766
401,1238
401,15094
402,813
402,8041
402,2470
402,2470
402,8041
402,2470
402,2470
402,2470
402,1742
402,7829
402,2643
402,9910
402,9910
402,15167
402,8041
402,813
404,4282
404,8454
404,12283
404,6060
404,7197
404,16093
404,1278
404,2498
404,13301
404,12283
404,7644
404,15462
404,8454
404,12283
404,8606
404,13362
404,7644
404,12833
404,7644
404,2923
404,16201
404,5295
404,8383
404,3969
404,4282
404,9456
404,7644
404,4611
404,7644
404,13362
404,7644
404,12306
404,5727
404,8915
404,11414
404,15884
404,7939
404,7587
404,9568
405,12329
406,2038
406,3168
406,8639
406,11365
406,6045
406,13994
406,8081
407,15884
407,6290
407,7009
407,14506
407,6668
407,7701
407,9881
407,10653
408,8085
408,2965
409,11046
409,206
409,11046
409,8010
409,13861
409,12632
409,13678
409,2055
409,7975
409,5115
409,15326
409,5507
409,14860
409,9881
409,8081
409,14118
409,15007
409,3023
409,10677
409,10228
409,8179
409,10228
409,11121
409,1985
409,8714
409,3712
409,10145
409,14616
409,13703
409,13677
409,3167
409,10145
410,15764
412,6449
412,1187
412,2348
412,15662
413,11155
413,1550
414,4191
414,14933
415,46
415,11687
415,10425
415,11687
415,11681
415,5569
415,12802
415,11687
415,11535
415,415
416,7471
417,3981
417,3981
417,1986
417,11151
417,10990
417,7140
417,3702
417,10341
417,6944
417,5703
417,4282
417,13548
417,13563
418,15908
418,1870
420,9538
422,13704
422,2868
422,13320
422,15326
422,6033
423,9294
423,10145
423,14704
423,9428
423,2680
423,5341
423,1387
423,13136
424,10999
426,9431
426,134
426,13639
426,11162
427,7531
428,428
428,10462
428,4236
428,7714
428,14693
428,5075
428,3839
428,12336
428,14293
428,9630
428,15268
428,93
428,5967
428,7370
428,1348
428,7916
428,12295
428,947
428,11868
428,8074
428,761
428,14686
428,889
428,3645
428,5678
428,8826
428,1969
428,3279
428,494
428,13677
428,4891
428,11037
428,11243
428,8017
428,14287
428,5683
428,8647
429,4116
429,14849
433,3907
433,6904
433,4867
433,5060
433,13203
433,14152
433,12388
433,3907
433,535
433,6627
433,6394
433,13362
433,4867
433,14250
435,11048
435,5198
435,8485
436,14892
436,14118
436,14892
436,3111
436,14892
436,14118
436,10019
438,10462
438,13634
438,14344
439,5583
440,4221
440,9565
440,5139
440,10665
440,1547
440,115
440,13938
440,270
440,13545
440,3117
440,3111
440,9565
441,6419
441,6486
443,10462
444,13361
446,1239
446,5106
447,1908
447,1908
448,7701
448,7701
448,7126
450,3104
450,2945
450,4388
450,15156
452,13717
453,14734
454,134
454,14814
454,10658
454,5751
454,9797
454,15007
454,6394
454,12021
454,11031
454,1665
457,4024
457,3074
457,4193
457,6321
458,9881
458,15396
458,2003
458,49
458,8256
458,10760
458,4562
458,6479
458,7340
459,9871
459,8053
460,10462
462,8916
462,10341
462,2666
463,8763
464,16142
464,16217
465,2594
465,7651
465,7045
465,12489
465,15507
465,792
465,11502
465,15905
465,1928
465,2815
465,9797
465,14195
465,10578
465,10990
465,4722
465,4657
465,4722
465,1916
465,10494
465,6738
465,3587
465,1588
465,12882
465,12499
465,7045
465,7651
465,14849
465,14880
465,1262
465,7157
465,2949
465,4722
465,6315
465,413
465,1550
465,10990
465,14880
465,14072
465,15753
465,12800
465,5408
465,2474
465,11642
465,10341
465,14849
465,6604
465,5012
465,475
465,11002
465,513
465,2427
465,9881
465,14664
465,13491
465,14579
465,8974
465,8010
465,2195
465,10341
467,7922
467,9926
467,12784
467,2099
468,15688
469,3023
469,5462
469,3844
469,2427
471,12211
471,6255
471,3386
471,14952
471,5220
471,4167
471,10459
471,7360
471,5683
471,10224
471,1444
471,2427
471,2363
471,4131
471,15148
473,11822
473,9124
473,6963
473,9124
473,9124
473,9124
474,14659
474,13275
475,9821
475,475
475,7293
475,8029
477,12716
478,6874
478,5513
478,228
478,6874
478,12315
478,14597
478,9106
478,10274
478,14327
478,4396
478,6938
479,7676
479,4496
480,5060
480,1364
480,7269
482,14952
482,14537
482,4844
482,10814
482,3475
482,2306
482,2152
482,14943
482,5042
482,10488
482,11474
482,7591
482,13365
483,10462
483,4621
483,10462
484,8412
484,4469
485,14892
486,2520
486,13993
486,13956
486,14743
487,415
487,2677
487,14694
487,4545
488,8547
488,15161
489,14633
489,11509
489,14248
490,9013
491,10462
491,10462
492,11152
492,12567
493,11502
493,4006
493,15972
493,12749
493,12749
493,14667
493,2634
493,15476
493,12749
493,1579
493,7016
493,14846
493,14118
493,14669
493,3807
493,8385
493,2904
493,13318
493,15340
493,10945
493,3712
493,3546
494,4232
494,1460
494,4232
494,14028
494,4388
494,11105
494,10939
494,2564
494,8461
494,11307
494,10246
494,12847
494,15007
494,1364
494,14587
494,1040
494,11854
494,66
495,10370
495,11355
496,12388
497,4131
500,13306
501,12453
501,13680
502,14012
502,3175
502,3869
504,4058
504,4058
504,8937
504,9396
505,10462
506,10819
506,6526
506,10819
507,10462
508,9236
508,11882
508,14735
508,10345
508,6595
509,177
509,3588
509,12689
509,6796
509,7827
510,15608
510,806
510,13043
511,14181
512,12021
513,15150
513,9128
513,5530
513,3482
513,15243
513,14958
513,13668
513,2671
513,14958
513,14958
513,14958
514,6856
514,2243
518,8208
518,12129
518,10392
518,9402
518,9684
518,2810
518,11046
518,13268
520,11129
522,993
522,1200
522,13362
522,7515
522,8043
522,11443
522,9165
522,2627
522,11250
522,13290
522,13364
522,12953
522,11897
522,11694
522,14686
522,3912
522,1929
522,11017
522,5220
522,8432
522,4715
522,4463
522,6282
522,519
522,12364
522,13058
522,2694
522,15765
522,9334
522,8166
522,1003
522,6302
522,2687
522,728
522,12633
